Article,Date,Heading,NewsType
"ISTANBUL: The foiled coup attempt seeking to unseat the government of President Recep Tayyip Erdogan has cost the Turkish economy 300 billion lira ($100 billion/90 billion euro), the trade minister was quoted as saying on Tuesday.</strongCustoms and Commerce Minister Bulent Tufenkci was quoted as saying by the Hurriyet newspaper the heavy price tag may even go up but insisted that Turkey´s economic fundamentals were solid.""Warplanes, helicopters, weapons, bombs, buildings: 300 billion lira. Maybe I am underestimating a bit,"" he said, referring to the heavy destruction on the night of the coup.""It might go up even more,"" he said.But the minister warned that the entire picture should be seen in a medium-term context even if some investors had been put off in the short-term.""The putschists made Turkey seem like a third world country,"" he fumed.""They (investors) are not coming after the images revealed tanks were deployed on the streets, parliament was bombed,"" he said, adding that some foreign orders had been cancelled in the wake of the coup.But Tufenkci said despite all this Turkey had managed to control the situation.""Had the coup taken place in another country, markets would not have opened earlier than in a week,"" he said. The coup took place on Friday July 15 but financial markets in Turkey opened as normal after the weekend.""The interest rates didn´t rise extraordinarily. The stock exchange´s losses have been limited. There´s no need to revise growth or export figures. The nation has stood firm.""The government has suspended annual leave of public sector personnel in the wake of the coup attempt, blamed by the government on supporters of US-based Islamic preacher Fethullah Gulen.This measure has affected the tourism industry, already hit by foreigners staying away over security fears after a spate of attacks as well as a crisis with Russia.""Because of a ban on annual leave, one million (tourism) reservations had been cancelled,"" the minister said.The number of foreigners visiting Turkey dropped over 40 percent in June to its lowest level this year but there is optimism the Russians will come back after Ankara mended fences with Moscow.""From now on tourism will also rally,"" said Tufenkci.",8/2/2016,Coup costsTurkey economy 100 billion minister,business
"ISLAMABAD: The Pakistan State Oil (PSO) has received Rs 293 billion payment against supplies amounting to Rs 308 billion made to different power sector entities during last 16 months.</strongThe government is making all out efforts to avoid further accumulatation of the PSO receivables which are around Rs 146 billion, official sources in the Ministry of Petroleum and Natural Resources told APP Wednesday.They informed that the balance of circular debt which was at Rs 181 billion at the start of January 2015 had been reduced to Rs 146 billion after the government injected Rs 40 billion on behalf of the power sector entities.Besides the government evolved an effective strategy to ensure payments against the furnance oil supplies to the PSO within seven days aimed at avoiding further accumulation of the circular debt.Commenting on the PSO’s receivables they said in addition to the outstanding amount the PSO had the price differential claims of Rs 9.6 billion against the government and late payment charges claims of Rs 55.5 billion against WAPDA, HUBCO and KAPCO.The sources said WAPDA, PEPCO owed Rs 104.30 billion, HUBCO Rs39.5 billion, KAPCO Rs 2.4 billion and Saba Power Southern Electric Rs 0.4 billion.",8/3/2016,PSO received Rs 293 bln payment against Rs 308 bln supplies16 ,business
DUBAI: Minister for Finance Ishaq Dar said on Thursday that successful completion of the last review was an indicative of government s strong commitment in implementing difficult structural reforms in the areas of taxation energy monetary financial sectors and public sector enterprises.</strongFinance Minister Ishaq Dar stated this while addressing a Joint press conference along with Harald Finger IMF Mission Chief here.Dar said that Pakistan and the IMF had successfully completed negotiations on the Final Review under the 3 year Extended Fund Facility (EFF) programme for an amount of 6.4 billion.Highlighting the overall programme performance of Pakistan the Finance Minister said Our performance throughout the programme culminating in the Twelfth Review has been highly satisfactory.We met the end June 2016 Quantitative Performance Criteria on Net International Reserves Foreign currency swap forward position and government borrowing from SBP by significant margins.The targets on Net Domestic Assets and budget deficit were missed marginally he remarked.Finance Minister Ishaq Dar said that the indicative target for end June 2016 on targeted cash transfers through Benazir Income Support Programme (BISP) and on power sector arrears were met.He informed that Federal Board of Revenue (FBR) not only achieved its annual target of Rs. 3104 billion but exceeded it.,8/4/2016,Pakistan IMF successfully complete last review Ishaq Dar,business
"SEOUL: At an Innisfree cosmetics store in Seoul's popular Myeongdong shopping district, a saleswoman helps 21-year-old Chinese tourist Yang Hui carry her shopping baskets to the pay desk in front of a large display showing K-Pop star Yoona</.""There's a lot to choose from,"" said Yang, confessing to having bought more than she'd planned from the store's range of around 900 products.South Korea's top cosmetics company Amorepacific Group (002790.KS) launches some 400 new Innisfree branded products a year, about half of which are no longer available a year later.It's one of dozens of Korean mass cosmetics brands with a short product development cycle - a ""fast beauty"" approach that is increasingly popular among Chinese and other Asian millennials, gaining exposure in the United States and Europe, and attracting high-profile foreign investment.South Korea has become a hot-bed for applying to cosmetics the ""fast fashion"" principles of shifting designs quickly from catwalk to Main Street to capitalise on new trends.Thousands of small cosmetics firms compete to get their new products to market, with third-party manufacturers cutting the time on testing and recipe alignment and providing the capacity for swift market launch.Korean brands have cut product development cycles to as little as four months, compared to over a year for global brands, industry experts say.""When we received an eyeshadow order from a major global client in 2004, it took us two years to begin production. Now it takes us one year from the word go,"" said Lim Dae-gyu, a director at Cosmax Inc (192820.KS), a cosmetics manufacturer with annual sales of close to $500 million.""For South Korean mass brands, it takes less - just 4-6 months from planning to market launch is average,"" Lim added.WINNING FORMULA</strongSouth Korea last year overtook the United States and Japan to become the No. 2 cosmetics exporter to China after France. It shipped $1.1 billion worth of skincare creams, facial masks, compacts and other cosmetic products to the world's second-largest economy, according to the Ministry of Food and Drug Safety.South Korea's total cosmetics exports were worth $2.59 billion, up 44 percent from 2014, with Hong Kong and the United States its second- and third-biggest markets, a long way behind China.Sales are boosted by South Korea's duty-free market - the world's biggest - which caters especially to big-spending Chinese tourists. Cosmetics accounted for nearly half of the country's record duty-free revenue of 5.8 trillion won ($5.1 billion) in the first half of this year, customs data showed.The trade is not without its downside. To counter unofficial re-sales, Korea's Customs Service is considering setting a 50 product limit for duty-free buyers, a customs official said. Analysts say this could dent sales by smaller firms, but note that bigger companies already limit duty-free purchases to control store inventory.""New ingredients, new packaging, new formulas come on the market continuously, and when something does well Korean brands respond quickly,"" said Jang Jun-kee, managing director of the Korea Cosmetics Foundation, an industry group.Amorepacific's 2008 hit product, the cushion compact - a multifunctional sponge applicator for anything from liquid facial cover and sun protection to make-up base and moisturiser - inspired follow-up products from global brands such as L'Oreal's (OREP.PA) Lancome and Estee Lauder's (EL.N) Clinique.Innovative, often cute, packaging also helps.The Face Shop, a mass brand from South Korea's second-ranked cosmetics firm LG Household &amp; Health Care (051900.KS), said last month it sold out of its initial 130,000 cushion compacts featuring Disney characters - costing 20,000 won ($17.82) - in just two days. It said it expects to launch about 600 new products this year.Beyond popularising beauty trends such as facial cosmetic products ""BB cream"" and ""CC cream"", South Korea has a reputation for innovation and for using natural and Oriental medicine ingredients from flowers and tea leaves to donkey milk, snail and seahorse to differentiate its so-called K-beauty products.""Korean consumers are very sophisticated. Their interest in beauty and expectations of cosmetics are high and they are willing to try new concepts,"" L'Oreal Korea said in emailed comments to Reuters. ""It's a market where new trends emerge before potentially going global.""CHINA FOUNDATION</strongFor foreign investors, buying into the Korean success story is a convenient way also into China, where locals can't get enough of Korean TV dramas and K-Pop music.""We find beauty and media-entertainment sectors to be the most exciting (in Korea),"" said Ravi Thakran, the chairman and managing partner at L Capital Asia, a unit of LVMH (LVMH.PA), which last month became a major shareholder in South Korean colour cosmetics brand CLIO. ""The popularity of Korean culture such as K-Pop, dramas and celebrities boosted significant demand for Korean beauty products in China and other Southeast Asian countries,"" he added.Beyond China, Korean cosmetics have also moved into chains including LVMH's Sephora, Target (TGT.N) and Urban Outfitters (URBN.O), according to Korea's state-run trade agency KOTRA.The LVMH unit's investment in CLIO came just weeks after Goldman Sachs (GS.N) and Bain Capital Private Equity said they were buying a majority stake in unlisted cosmetics maker Carver Korea Co Ltd.($1 = 1,107.9000 won)",8/4/2016,Fast beauty Korean cosmetics shine China draw investor,business
"ISLAMABAD: The International Monetary Fund (IMF) has announced it will release the last instalment of a $6.6 billion economic bailout package to Pakistan, as Prime Minister Nawaz Sharif hailed an end to the country´s reliance on the lender.</strongThe decision to release the final tranche worth $102 million of the three-year programme came after a review of the country´s economic performance that found it was meeting most reform indicators but still needed to broaden the tax net.IMF delegation head Harald Finger said growth was projected to reach five percent supported by a construction boom linked to the China Pakistan Economic Corridor, an ambitious infrastructure upgrade project intended to link China´s western Xinjiang region to Gwadar port on the Arabian Sea.""All indicative targets and structural benchmarks (SB) were met, except for the delayed notification of multi-year tariffs for three power distribution companies,"" Finger said Thursday in Dubai, referring to measures intended to reduce major fluctuations in electricity costs.The release of the final tranche is subject to approval by the IMF´s executive board though that is considered a formality.In Islamabad, Sharif told lawmakers from his party that his government had ended the country´s reliance on foreign multilateral assistance and was saying ""goodbye"" to the Fund.""With the grace of God, we will say goodbye to IMF after this (agreement),"" he said.Sharif had been under pressure from the opposition for seeking the loan in 2013 because its conditions included forcing the government to raise taxes and energy prices.The IMF note cautioned however that to consolidate and reinforce the gains achieved in the last three years, it was important to ""strengthen public finances and external buffers, broaden the tax net, (and) improve public financial management,"" among other measures.",8/5/2016,IMF release final instalment 66 bn loan Paki,business
"TOKYO: Tokyo stocks climbed in early trading Friday as a weaker yen boosted exporters, while Toyota surged on forecast-beating quarterly net profits.</strongThe world´s biggest automaker said Thursday it posted a nearly 15 percent drop in its April-June net profit, citing a sharp rally in the yen and falling North American vehicle sales.Toyota, which also trimmed its full-year profit and sales forecast, soared 2.61 percent to 5,840 yen in early deals.The Bank of England Thursday announced its first interest rate cut in more than seven years and a fresh stimulus package to counter the fallout from Britain´s vote to quit the European Union.Those measures lifted the mood among Japanese investors, who are now focused on US monthly employment figures due later in the day, analysts said.""The BoE (Bank of England) has taken the stance that they´ll do everything they can in terms of stimulus in the face of uncertainty,"" Juichi Wako, a senior strategist at Nomura Holdings, told Bloomberg News.""An easing situation is more likely to continue across the globe, and this is positive for Japanese stocks.""In early deals, the benchmark Nikkei 225 index gained 0.51 percent, or 82.73 points, to 16,337.62, building on a sharp gain of more than one percent the previous day.The broader Topix index of all first-section shares was up 0.42 percent, or 5.39 points, at 1,288.38.In forex markets, the dollar jumped to 101.33 yen from 101.22 yen Thursday in New York.<br/>In European stock trading, London, Frankfurt and Paris rose on Thursday on the news of the BoE measures.On Wall Street, the Dow closed down less than 0.1 percent, while the broad-based S&amp;P 500 ticked less than 0.1 percent higher and the tech-rich Nasdaq advanced 0.1 percent.",8/5/2016,Tokyo stocks rise in early trade on weaker yen Toyota soar,business
"WASHINGTON:  The US economy generated more than a quarter of a million jobs in July -- a bigger-than-expected gain that will likely provide valuable ammunition for Democrat Hillary Clinton as she and Donald Trump battle for the White House.The new numbers released Friday -- which sent US stocks soaring -- were also accompanied by upward revisions of May and June data in a sign the job market in the world´s largest economy is healthier than previously thought.Non-farm payrolls rose by 255,000 positions in July while the unemployment rate remained stable at 4.9 percent, the Labor Department reported. Forecasts had called for a much more modest increase of 185,000 jobs.Private businesses and government employers added 292,000 jobs in June, not the 287,000 first reported, and 24,000 jobs in May, not the very low, downward-revised figure of 11,000.""This month´s report confirms that the Great Recession is indeed in the nation´s rearview mirror -- the economy has added jobs for 70 consecutive months, the longest streak on record,"" Labor Secretary Thomas Perez said.On the White House campaign trail, Clinton has painted a picture of optimism and jobs growth, while Trump has cast America as an economy in decline -- Friday´s numbers can only help Clinton.The Trump campaign sought to downplay the news, with senior policy advisor Stephen Miller saying the recovery was the weakest since the Great Depression, with conditions largely disfavoring working people.""Entire communities have been wiped out by off-shoring,"" said Miller.<br/>""Many workers today are earning less than they did in 1970, and household incomes are down nearly $2,000 under the Obama administration.""/>< Fed rate hike?</strongThe closely watched jobs figures help fill out a complex economic picture for market observers eager for signs of whether the US Federal Reserve will raise interest rates later this year.Monetary policy makers earlier this year veered off a course of planned, successive rate hikes as some signs emerged that the American economy might not be on sure footing.The Commerce Department said last month that economic activity had grown by a paltry 1.2 percent in the second quarter.But that data was at odds with Friday´s rosier jobs report. ""Employment rose in all sectors of the economy, helping to keep the rate of unemployment at 4.9 percent amid an increase in the number of people entering the labor market looking for work,"" said Chris Williamson of IHS Markit.""Adding to the good news was an improvement in pay growth. Average hourly earnings rose 0.3 percent against expectations of a mere 0.2 percent rise,"" said Williamson, noting that pay growth was still below pre-crisis rates.Gains were strongest in professional and business services, with 70,000 new jobs added, and in health care, where 43,000 new jobs added. Together, both sectors have added nearly a million jobs in the last 12 months, according to the Labor Department.Employment in mining continued to fall, losing 6,000 positions from the prior month and putting the industry down 220,000 jobs since a peak hit in September 2014.The average workweek rose 0.1 hours to 34.5 hours while average hourly earnings inched upwards by 8 cents to $25.69, up 2.6 percent since the start of the year./><Stocks up</strongEquities markets reacted favorably to the news, with the S&amp;P 500 closing at 2,182.87, about four points above the all-time record set last month.The tech-rich Nasdaq Composite also set a record, closing up 1.1 percent at 5,221.12 while the Dow Jones Industrial Average finished up 1.0 percent at 18,543.53, only 12 points from its record.""We believe the trend remains more than strong enough to keep the unemployment rate declining over time,"" said Jim O´Sullivan of High Frequency Economics.""Today´s report helps the case for more Fed tightening before too long -- if strength is sustained -- although officials are being ultra cautious/dovish as they worry about downside risks,"" he added.",8/6/2016,Strong US July jobs numbers a likely boost for Cli,business
"KARACHI: Pakistan stocks ended at a record high on Monday after State Bank of Pakistan left interest rates unchanged last week, dealers said.</strongThe benchmark 100-share index on the Pakistan Stock Exchange closed up 0.75 percent at 39,800.64. It hit an all-time high of 39,917.13 during the session.The SBP in its monetary policy announcement on Saturday kept its discount rate unchanged at 5.75 percent.""Unchanged interest rates in monetary policy announcement led to investor interest in banks, creating a positive sentiment in the first session of the week,"" said Hammad Aman, manager equity sales at Topline Securities Pvt Ltd.United Bank Ltd gained 0.60 percent, MCB Bank Ltd was up 1.58 percent, Bank Alfalah Ltd rose 4.18 percent and National Bank of Pakistan gained 4.99 percent.The rupee ended at 104.81/104.85 against the dollar, unchanged from Friday´s close.Overnight rates in the money market fell to 5.40 percent from Friday´s close of 6.30 percent.",8/1/2016,Pakistan stocks end record hig,business
"Islamabad: International financial market analysis firm BMI says that Pakistan will be developed as manufacturing hub over the coming years.</strongAccording to a Business Monitor International report, Pakistan will be among top 10 emerging markets from Asia and Africa in future because of its economic growth over the next ten years.The report reveals that Pakistan whose current primary sector is agribusiness with textile and rice being the key exports is expected to become a manufacturing hub in coming years.BMI says textile and automotive sectors in Pakistan are showing the fastest growth rate.The domestic manufacturing investment is also expected to be boosted considering the lower energy prices and an improved domestic energy supply.Pakistan whose current primary sector is agribusiness with textile and rice being the key exports is expected to become a manufacturing hub in the coming years. In the beginning of BMI’s Forecast period the textile and automotive sector presented a faster growth.The domestic manufacturing investment is expected to be boosted considering the lower energy prices and an improved domestic energy supply.",8/1/2016,Pakistan will be among top 10 emerging markets from Asia BMI,business
"ISLAMABAD: The Jewellary exports from the country increased by 28.78 percent during the fiscal year 2015 16 compared to the corresponding period of last year.</strongThe overall exports of jewellary from the country during July June (2015 16) were recorded at 8.492 million compared to the exports of 6.594 million in July June (2014 15) according to Pakistan Bureau of Statistics (PBS).Meanwhile on year on year basis the jewellary exports increased by 183.55 million in June 2016 compared to the exports of June 2015. The Jewellary exports during June 2016 were recorded at 1.310million in June 2016 compared to the exports of 0.462 million in June 2015. On month on month basis the exports of jewellary increased by18.23 percent in June 2016 when compared to the exports of 1.108million in May 2016, the PBS data revealed.Meanwhile the gem exports from the country declined by 49.72percent during the fiscal year 2015 16 by going down from 7.846million last year to 3.944 million during the current year.On year on year basis the exports of gems however decreased by 30.83 percent in June 2016 to 0.249 million compared to the exports of 0.360 million.While as compared to the exports of 0.487 million in May2016 the exports of gems in June decreased by 48.87 percent.It is pertinent to mention here that the overall mercantile exports from the country declined by 12.11 percent during the year2015 16 as compared to same period of previous year.The country s exports went down from 23.667 billion in July June (2014 15) to 20.802 billion during corresponding period of the year 2015 16.",8/1/2016,Pakistan Jewellary exports up 29 FY16,business
"Tokyo: Tokyo stocks opened lower Monday, despite a mostly solid lead from Wall Street after the Bank of Japan last week disappointed investors with underwhelming tweaks to its stimulus programme.</strongThe benchmark Nikkei 225 index slipped 0.93 percent, or 153.96 points, to open at 16,415.31, while the broader Topix index of all first-section shares lost 1.09 percent, or 14.44 points, to 1,308.30.",8/1/2016,Tokyo stocks open lower after BoJ under,business
ISLAMABAD: The Federal Board of Revenue (FBR) on Tuesday issued property valuation tables for major cities of the country for the purpose of calculation of capital gain tax.</strongThe valuation has been agreed between business community and FBR in recent parleys which concluded last Saturday and announced by Finance Minister Senator Ishaq Dar said a statement issued by FBR here.The valuation shows various categories of open and constructed plots.,8/2/2016,FBR issues immovable property valuation tables for major citi,business
"ISTANBUL: The foiled coup attempt seeking to unseat the government of President Recep Tayyip Erdogan has cost the Turkish economy 300 billion lira ($100 billion/90 billion euro), the trade minister was quoted as saying on Tuesday.</strongCustoms and Commerce Minister Bulent Tufenkci was quoted as saying by the Hurriyet newspaper the heavy price tag may even go up but insisted that Turkey´s economic fundamentals were solid.""Warplanes, helicopters, weapons, bombs, buildings: 300 billion lira. Maybe I am underestimating a bit,"" he said, referring to the heavy destruction on the night of the coup.""It might go up even more,"" he said.But the minister warned that the entire picture should be seen in a medium-term context even if some investors had been put off in the short-term.""The putschists made Turkey seem like a third world country,"" he fumed.""They (investors) are not coming after the images revealed tanks were deployed on the streets, parliament was bombed,"" he said, adding that some foreign orders had been cancelled in the wake of the coup.But Tufenkci said despite all this Turkey had managed to control the situation.""Had the coup taken place in another country, markets would not have opened earlier than in a week,"" he said. The coup took place on Friday July 15 but financial markets in Turkey opened as normal after the weekend.""The interest rates didn´t rise extraordinarily. The stock exchange´s losses have been limited. There´s no need to revise growth or export figures. The nation has stood firm.""The government has suspended annual leave of public sector personnel in the wake of the coup attempt, blamed by the government on supporters of US-based Islamic preacher Fethullah Gulen.This measure has affected the tourism industry, already hit by foreigners staying away over security fears after a spate of attacks as well as a crisis with Russia.""Because of a ban on annual leave, one million (tourism) reservations had been cancelled,"" the minister said.The number of foreigners visiting Turkey dropped over 40 percent in June to its lowest level this year but there is optimism the Russians will come back after Ankara mended fences with Moscow.""From now on tourism will also rally,"" said Tufenkci.",8/2/2016,Coup costsTurkey economy 100 billion minister,business
"ISLAMABAD: The Pakistan State Oil (PSO) has received Rs 293 billion payment against supplies amounting to Rs 308 billion made to different power sector entities during last 16 months.</strongThe government is making all out efforts to avoid further accumulatation of the PSO receivables which are around Rs 146 billion, official sources in the Ministry of Petroleum and Natural Resources told APP Wednesday.They informed that the balance of circular debt which was at Rs 181 billion at the start of January 2015 had been reduced to Rs 146 billion after the government injected Rs 40 billion on behalf of the power sector entities.Besides the government evolved an effective strategy to ensure payments against the furnance oil supplies to the PSO within seven days aimed at avoiding further accumulation of the circular debt.Commenting on the PSO’s receivables they said in addition to the outstanding amount the PSO had the price differential claims of Rs 9.6 billion against the government and late payment charges claims of Rs 55.5 billion against WAPDA, HUBCO and KAPCO.The sources said WAPDA, PEPCO owed Rs 104.30 billion, HUBCO Rs39.5 billion, KAPCO Rs 2.4 billion and Saba Power Southern Electric Rs 0.4 billion.",8/3/2016,PSO received Rs 293 bln payment against Rs 308 bln supplies16 ,business
DUBAI: Minister for Finance Ishaq Dar said on Thursday that successful completion of the last review was an indicative of government s strong commitment in implementing difficult structural reforms in the areas of taxation energy monetary financial sectors and public sector enterprises.</strongFinance Minister Ishaq Dar stated this while addressing a Joint press conference along with Harald Finger IMF Mission Chief here.Dar said that Pakistan and the IMF had successfully completed negotiations on the Final Review under the 3 year Extended Fund Facility (EFF) programme for an amount of 6.4 billion.Highlighting the overall programme performance of Pakistan the Finance Minister said Our performance throughout the programme culminating in the Twelfth Review has been highly satisfactory.We met the end June 2016 Quantitative Performance Criteria on Net International Reserves Foreign currency swap forward position and government borrowing from SBP by significant margins.The targets on Net Domestic Assets and budget deficit were missed marginally he remarked.Finance Minister Ishaq Dar said that the indicative target for end June 2016 on targeted cash transfers through Benazir Income Support Programme (BISP) and on power sector arrears were met.He informed that Federal Board of Revenue (FBR) not only achieved its annual target of Rs. 3104 billion but exceeded it.,8/4/2016,Pakistan IMF successfully complete last review Ishaq Dar,business
