Article,Date,Heading,NewsType
"KARACHI: The prices of petroleum products are expected to increase next month (November) in Pakistan. According to sources the price of petrol will increase by Rs3.43/litre and diesel by Rs.2.80/litre. The price of kerosene oil will rise by Rs3.00/litre. The final estimate for the price increase will be made on October 26.   










",10/19/2015,pol prices expected to rise in november,business
"Singapore: Oil fell in Asia Monday after official data showed China´s economy posted its slowest growth for more than six years in the third quarter, reinforcing worries about demand from the world´s top energy guzzler.The government said gross domestic product (GDP) for the world´s second-biggest economy rose 6.9 percent in the three months to September, beating market forecasts but still the worst since 2009.Growth in China´s industrial production, which measures output at factories, workshops and mines, also dropped sharply to 5.7 percent year-on-year in September, the government said.""Although China´s retail sales turned out strong, industrial related data remained weak. This would likely be weighing down on commodity usage in China,"" Daniel Ang, an investment analyst with Phillip Futures in Singapore, said in a market commentary.""With weak Chinese industrial production, we may see Chinese manufacturing PMI worsen, thus, leading to weaker oil prices,"" he said, referring to the forward-looking Purchasing Managers´ Index to be released later this week.The market will also be on the lookout for economic data from the United States and the eurozone expected to be released this week.""Considering the expectations for both China and eurozone, we could see US being the tie breaker between oil bulls and bears. US data has not been exceptionally strong, and thus, could mean that oil prices could be facing some headwinds towards the end of the week,"" Ang said.In Asian trade, US benchmark West Texas Intermediate for November delivery was down 10 cents to $47.16 and Brent crude for December fell 12 cents to $50.34 a barrel at around 0300 GMT.Both contracts fell for four straight trading days last week before advancing Friday on the back of data showing a fresh decline in US oil exploration, which suggested lower output that could help ease the global oversupply.Sanjeev Gupta, head of the Asia Pacific oil and gas practice at professional services firm EY, said the market will also be seeking clues from a meeting of OPEC and non-OPEC technical experts in Vienna on Wednesday.Oil-producer Russia said last week it was prepared to discuss output cuts during the meeting.                        










",10/19/2015,oil retreats in asia as china slowdown weig,business
"Singapore: Oil prices dipped in Asia on Wednesday as traders anticipated an increase in US crude inventories when weekly data from the Energy Information Agency (EIA) is released later in the day.US benchmark West Texas Intermediate (WTI) for delivery in December eased 23 cents to $46.06 per at around 0400 GMT.Brent North Sea crude for December was 11 cents lower at $48.60.Bernard Aw, market strategist at IG markets in Singapore, said traders had ""renewed concerns"" over the worsening oversupply problem.The ""American Petroleum Institute reported that US crude inventories may have expanded by around 7 million barrels last week, which gave credence to the expectations of increased stockpiling ahead of official Energy Information Agency data"", Aw told AFP.A build-up in the inventories data by the EIA for the week ending October 16 would indicate softer demand, in turn dampening prices.""The overall picture for oil remains unchanged. The oversupply issue is expected to stay for a while longer until global demand picks up,"" Aw added.Traders are also wary of the return of Iranian oil supplies into the market as Tehran and world powers begin to implement a deal aimed at curbing Iran´s nuclear programme in exchange for the lifting of crippling economic sanctions. 










",10/21/2015,oil prices drop in asia on oversupply fear,business
"ISLAMABAD: The Asian Development Bank (ADB) will extend financial assistance of 178 million dollars to Pakistan on easy installments for 20 years.The agreement in this regard was signed between Secretary Finance and Country Director ADB here on Thursday.Speaking on the occasion, Finance Secretary Salim Sethi said the amount will be spent on the construction of Gojra-Shorkot motorway.He said the motorway’s 62 kilometer section is part of the Pak-China Economic Corridor. Salim Sethi said the construction of Gojra-Shorkot motorway will cut by half the travel duration of Islamabad-Toba Tek Singh and Lahore-Toba Tek Singh. 










",10/22/2015,pakistan to get 178 mn adb assistance on easy i,business
"ISLAMABAD: National Electric Power Regulatory Authority (NEPRA) has approved Rs2.88 per unit cut in power tariff for the month of September.The authority approved the reduction while hearing on plea for fuel adjustment for the month of September at NEPRA headquarters.Speaking on the occasion, NEPRA Chairman Tariq Sadozzai said consumers will get a relief of Rs24.39 billion, adding that the decision is applicable for all the power distribution companies except K-Electric. 










",10/22/2015,nepra approves rs2.88 per unit cut in power tariff for september,business
"Singapore: Oil prices edged up in Asia Thursday, lifted by bargain-hunting following a sharp decline the day before, although analysts said the market remains hobbled by an oversupply of the commodity.A report released Wednesday showing a bigger-than-expected increase in US crude stockpiles has stoked fresh worries about a global glut that has depressed oil prices for more than a year.US benchmark West Texas Intermediate for delivery in December rose 25 cents to $45.45 and Brent crude for December climbed 21 cents to $48.06 a barrel at around 0300 GMT.The rebound followed Wednesday´s steep fall after the US Energy Information Administration said the country´s commercial crude-oil inventories jumped by eight million barrels to 476.6 million in the week ending October 16.The increase, which typically indicates weaker demand in the world´s number one economy, was more than double market expectations.Oil prices took a hit at the start of the week when China said gross domestic product grew in the third quarter at its slowest pace in more than six years.""Worries about the health of the Chinese economy continue to batter commodities prices. In the US, crude stockpiles surged ... and supply glut remains a concern,"" said Sanjeev Gupta, who heads the Asia Pacific oil and gas practice at professional services firm EY.Gupta said a meeting between OPEC and non-OPEC oil producers on Wednesday ""did not produce any meaningful results as no potential production cuts were addressed"".Russia had said it was prepared to discuss a reduction with members of the cartel at the meeting in Vienna.Gupta said the market will be looking at a December 4 policy-setting meeting of the Organization of the Petroleum Exporting Countries which is expected to ""provide vital clues about price development in the medium term"".OPEC, which includes Saudi Arabia, Kuwait and the United Arab Emirates, has maintained high production levels despite the oil price decline, as members seek to maintain market share.                        










",10/22/2015,oil prices edged up after recent ,business
"TOKYO: Asian stocks on Monday were close to wiping out all their losses since China´s shock currency devaluation in August, as global equities rallied after the Chinese central bank cut rates and US tech giants provided upbeat earnings guidance.MSCI´s index of Asia-Pacific shares outside Japan rose 0.5 percent to hit its highest since Aug. 12, led by 1.2 percent gains in Honk Kong. Japan´s Nikkei rose 1.1 percent to a two-month high.The surprise move by China lifted risk assets that had been already boosted by Thursday´s message from the European Central Bank that it stood ready to enhance quantitative easing and cut interest rates to even deeper negative levels.""These moves by the ECB and China are raising speculation that the Bank of Japan will act later on this week as well,"" Masahiro Ichikawa, senior strategist at Sumitomo Mitsui Asset Management. The BOJ will hold its next policy review on Friday.The US Federal Reserve is also widely expected to refrain from raising rates at its two-day policy meeting on Tuesday and Wednesday.Against these backdrop, the MSCI's index of the world's share markets shot up to its highest level since Aug. 20, having risen more than 10 percent from its two-year low hit less than a month ago.It has recovered most of the losses since Aug. 11, when China's sudden devaluation of the yuan sparked worries its economy may be in deeper trouble than many had thought.On Wall Street, S&P 500 Index rose 1.1 percent to turn positive on the year, while the tech-heavy Nasdaq jumped 2.3 percent.Technology shares led the way, thanks to gains in Alphabet, Amazon and Microsoft, after the three companies reported earnings results. The former two hit record highs, while Microsoft rose to a 15-year high.Mainland Chinese shares rose on Monday after China cut the benchmark one-year lending rate - for the sixth time in less than a year - by 25 basis points to 4.35 percent, and lowered big banks' reserve requirement ratio late.Gains were fairly limited, however, with Shanghai composite index up just 0.5 percent.Naoki Tashiro, the president of TS China Research, noted that in the week following each of the past year's five rate mainland shares rose three times but fell twice.""Mainland investors are cautious. The market has been rallying so far this month, so some investors could may well take profits into rally,"" he said.One big focus is Chinese Communist party's central committee meeting from Monday to Thursday to set out a new five-year plan, while investors attempt to gauge how much China's growth is likely to slow in coming years.Ahead of the central committee meeting, Premier Li Keqiang said that China has never stated the economy must grow seven percent this year, coinciding with remarks by a top central bank official on Saturday that China would be able to keep annual economic growth at around 6-7 percent over that period.Risk sentiment supported by Thursday's message from European Central Bank President Mario Draghi that the bank stood ready to enhance quantitative easing.That saw the Italian and Spanish two-year government bond yields both turn negative for the first time, meaning investors effectively pay to hold them.The benchmark German two-year yield fell further to minus 0.345 percent.As negative yields undermine the attraction of holding the euro, traders pushed it to a 2 1/2-month low of $1.0989 in early Asian trade. It last stood at $1.1031, bouncing back on profit-taking.The yen dipped to 121.60 to the dollar, its lowest since late August as traders speculated the Bank of Japan might unleash additional easing on Friday, before bouncing back to 121.16 on profit-taking.""The Japanese economy is weaker than in August and there's no sign of a rebound. Markets are now expecting easing from the BOJ,"" said Takeru Ogihara, chief strategist at Mizuho Trust Bank.Despite a recovery in global equity prices, oil prices were softer, pressured by ongoing oversupply worries.Brent futures stood at $44.68, hardly recovering after a fall of 5.6 percent last week, not far from three-week low of $44.20 touched on Friday.                        










",10/26/2015,asian stocks advance on china rate cut us tech earning,business
"STRASBOURG, FRANCE: European lawmakers on Tuesday approved an end to loathed mobile phone roaming charges in the EU by 2017 and adopted rules to ensure open internet access.""This abolition of roaming surcharges has been long awaited by everybody: ordinary people, start-ups, SMEs and all kinds of organisations,"" said Pilar del Castillo, the Spanish MEP who helped steer the legislation through the European Parliament.Roaming charges vary enormously between telecoms operators and many users have ended up paying exorbitant rates -- often without knowing in advance -- to make calls when travelling within the 28-nation European Union.Also included in the telecoms package were rules to ensure what is known as ""net neutrality,"" meaning unfettered access to the Internet, although critics said they do not go far enough.Earlier this year, the US telecoms regulator put in place ""open Internet"" rules to prevent operators offering different rates of access depending on fees or the services offered.The EU rules are largely the same but they do offer some leeway to operators to market different services. ""Thanks to this agreement, Europe will also become the only region in the world which legally guarantees open internet and net neutrality,"" del Castillo told parliament in the eastern French city of Strasbourg.""The principle of net neutrality will be applied directly in the 28 member states. It also ensures that we will not have a two-speed internet,"" she said in a parliament statement.Critics said both measures were welcome but more should be done, especially on internet access.Monique Goyens, head of the European Consumer Organisation, said that while ""access to the open Internet is now a legal right for all EU consumers ... deficiencies remain."" 










",10/27/2015,eu lawmakers end mobile roaming charg,business
"Singapore: Oil prices extended losses in Asia Tuesday on expectations of a rise in US crude inventories and following forecasts that a global supply glut will persist into next year.The US Energy Information Administration (EIA) will release Wednesday its weekly report on the country´s commercial crude inventories for the week ending October 23, which is seen as a gauge for demand in the world´s top oil consuming nation. Analysts expect another build-up.""Oil prices remain near two-month lows as oversupply issues stay in the forefront... Fundamentals re-exerted themselves,"" Bernard Aw, market strategist at IG Markets in Singapore, told AFP.""There is a belief that US inventories are on the rise, which would prolong the global glut,"" he said.""The EIA on Wednesday will provide colour to the view.""In Asia, US benchmark West Texas Intermediate (WTI) for December delivery was trading 63 cents lower at $43.35 and Brent eased 43 cents at $47.11 a barrel at around 0300 GMT.Both contracts were down on Monday after stretching losses into a second week on Friday.The losses came after Fatih Birol, executive director of the International Energy Agency, said at an energy conference in Singapore on Monday that it saw ""ample supply in the market"" until mid-2016.Prices fell to six-year lows in August but bounced back earlier this month to trade above $50, lifted by upbeat comments on the demand outlook from the head of the OPEC cartel of crude producers.The rally however was not sustained as oversupply concerns resurfaced. Current price levels are more than 50 percent below peaks of more than $100 reached in June last year.                        










",10/27/2015,oil prices retreat in asi,business
"KARACHI: The value of US dollar once again seems to be going out of control, as it climbed to Rs105.70 in the open market on Wednesday.According to sources, the greenback saw a rise in the Inter bank as well and closed at Rs105.51.Banks have been directed not to carry out transactions of dollar at lower than Rs105.50. 










",10/28/2015,dollar jumps to rs105.70 in open mar,business
"ISLAMABAD: The government is expected to ratchet up the prices of all petroleum products by a large margin with effect from November 1, sources told Geo News on Wednesday.It is expected that the price of petrol will be increased by Rs 5.35 per litre, High Speed Diesel by Rs 2.43, High Octane Blending Component (HOBC) by Rs 6.10, and kerosene oil by Rs 3.17 per litre.According to sources, Oil and Gas Regulatory Authority (OGRA) is in the process of finalising a summary which will be forwarded tomorrow. 










",10/28/2015,pol prices likely to see major hike from nov 1,business
"KARACHI: The Pakistani rupee on Wednesday slipped to a fresh two-year low of 105.80 against the US dollar in the interbank market, falling 56 paisa from its previous closing. In the open market, the rupee was down 30 paisa from Tuesday's closing, trading at 105.60 against the USD. Due to the rise in the value of the dollar by Rs 1.40 in the last two days, Pakistan's external debt is likely to see an increase of Rs 84 billion, analysts said. The recent climb of the dollar against the rupee has been attributed to a strong demand of the greenback from importers and its outflows from the country. Currency dealers say the growing demand is due to oil-related payments.""There were a few import payments in the market and banks were already short of them, and as the rupee crossed the 104.50 level it triggered 'stop', surging the rupee past the 105 figure,"" Eman Khan from Tresmark, an application that tracks financial markets, told The News on Tuesday. ""It's no coincidence that it happened on a day when the Finance minister initiated meeting with the IMF (International Monetary Fund) and also when economic managers are assessing the damage from the deadly earthquake,"" Khan said. The talks between the IMF officials and the Pakistan's authorities on the ninth review of the extended fund facility program started on Monday in Dubai. Despite strong foreign exchange reserves and narrowing current account deficit, the rupee is constantly losing its value. The rupee depreciated 3.5 percent since the beginning of the current fiscal year.                        










",10/28/2015,rupee sinks to fresh two year low against dollar,business
"Singapore: Oil prices tumbled in Asia Thursday, cutting short a rally the day before after hints of an interest rate hike in December by the US Federal Reserve boosted the dollar.Prices rose Wednesday after the US Department of Energy said the country´s commercial crude stockpiles had increased less than expected, suggesting stronger demand in the world´s top oil consuming nation.But the rebound was punctured after the Fed on Wednesday signalled it could raise rates before the end of the year, expressing optimism for the world´s top economy after ""solid"" consumer spending and business investment.""With the Federal Reserve holding off on interest rates hikes on Wednesday, the market will keep watch on the December meeting where a rate hike is likely in play,"" said Sanjeev Gupta, head of the Asia Pacific oil and gas practice at professional services firm EY.At around 0330 GMT, US benchmark West Texas Intermediate for delivery in December was trading 16 cents lower at $45.78 and Brent crude for December was down 21 cents at $48.84.US oil prices jumped more than six percent in Wednesday´s session after news domestic crude supplies rose less than expected in the week ending October 23.The news helped ease some fears over a glut of world supplies that experts warn could last well into next year, which has seen oil prices more than halve from last year´s highs.But the rally was cut short when the US central bank explicitly pointed to the possibility of a rate hike in its next meeting in December, dampening market predictions it could be held off until March.The news pushed the dollar higher -- an interest rate hike is bullish for the dollar as it attracts investors to the currency in the quest for higher returns.But because oil is traded in dollars, a strong US currency will make the commodity more expensive for holders of weaker units, hurting demand and prices.""We are still expecting the Fed rate normalisation to be an eventuality and the latest Federal Open Market Committee decision further reaffirms our expectation for the first hike (since 2006) to take place in the 15-16 December 2015 FOMC (meeting),"" United Overseas Bank said. 










",10/29/2015,oil rally fizzles as fed rate hike comments boost dollar,business
"KARACHI, October 30, 2015 - Advance Telecom will offer iPhone 6s and iPhone 6s Plus beginning on Friday 13th November 2015.According to a press release, the interested customers can avail the offers at 5 Futuretech and 11 Advance Stores across Pakistan. It further said that amazing offers can be availed by booking the devices on futuretech.pk starting 31st October 2015. People can visit the stores and become a part of this launch in Karachi, Lahore & Islamabad. 










",11/1/2015,futuretech brings iphone 6s iphone 6s plus to paki,business
"ISLAMABAD: Liquefied Petroleum Gas marketing companies have increased price of LPG by Rs 8 per kg following increase in import duty and its demand.Chairman LPG Distributions Association, Irfan Khokhar said price of domestic cylinder is hiked by Rs 100 and commercial cylinder by Rs 400.Khokhar said the new price of LPG in Karachi would be Rs 85 per kg with domestic cylinder at Rs970. In Lahore and Peshawar the price of LPG had been raised to Rs 90 per kg with domestic cylinder at Rs 1030 while in AJK Rawalpindi and Islamabad of LPG would available at Rs100 per kg with domestic cylinder at Rs 1150.In Northern area, the price has climbed to Rs120 per kg.He demanded of the government to abolish duties and taxes on import of LPG in order to encourage more its import for meeting local demand.                        










",11/2/2015,lpg price up by rs 8 per kg,business
"Tokyo: Asian stocks dipped in early trade Monday, while the dollar retreated against most regional currencies as a weak reading in a Chinese manufacturing index stirred worries about the world´s number two economy.On equity markets, there were losses across the board as Sunday data showed activity in China´s vast manufacturing sector declined in October for the third straight month, triggering worries about the Chinese economy, a crucial driver of global growth.Investors also turned to profit taking after equity markets surged last month, recovering from their worst quarter in four years during July-September, as analysts said fresh cues were needed for markets to rally further.China´s Purchasing Managers´ Index (PMI), tracking activity in the factory and workshop sector, was unchanged from the previous month at 49.8, the state statistics office said Sunday.A PMI figure above 50 signals expanding activity while anything below indicates shrinkage.""I´m struggling to see catalysts to encourage the market to take this rally to the next level,"" said Tony Farnham, a strategist at Patersons Securities Ltd.""China´s PMI numbers were underwhelming. Manufacturing will probably remain weak as China tries to rebalance its economy away from manufacturing and into services.""Tokyo was down 1.87 percent by the lunch break on the weak figures, Hong Kong fell 0.60 percent in early trade and Shanghai dropped 0.38 percent. Sydney lost 1.26 percent as oil halted a three-day climb, while Seoul edged up 0.17 percent after a drop in South Korean exports.On Wall Street Friday, the Dow fell 0.52 percent, the S&P 500 lost 0.48 percent and the Nasdaq dropped 0.40 percent.- Dollar retreats -The dollar remained under selling pressure against emerging currencies and the yen early Monday, after stagnant US economic indicators bolstered the argument against a December rate hike.The US government said Friday its consumer spending rose only by 0.1 percent in the United States in September, less than expected and the slowest rate since January.While the US Federal Reserve said earlier this year it expected to tighten monetary policy before 2016, the summer´s turmoil on global markets and a slowdown in the world economy have forced policymakers to stay their hand.""Tokyo has taken over the dollar-selling sentiment from New York,"" Minori Uchida, head of Tokyo global markets research at Bank of Tokyo-Mitsubishi UFJ, told AFP.""It is difficult to buy the dollar now as the recent economic figures are not strong enough to justify a rate hike,"" Uchida said.Many economists now are tipping a lift-off early in the new year, bolstering emerging market currencies, which had been hammered this year on talk of a 2015 move as investors remove their cash to the United States in search of better, safer returns.In early trade on Monday, the Malaysian ringgit added 0.21 percent against the dollar, while the Indonesian rupiah advanced 0.20 percent, the Singapore dollar rose 0.07 percent, Taiwan´s dollar gained 0.35 percent and the Thai baht was 0.14 percent higher.The greenback bought 120.40 yen from 120.67 yen Friday in New York. The euro was at $1.1032 and 132.83 yen from $1.1003 and 132.77 yen in US trade.                        










",11/2/2015,asian stocks dollar retreat on weak chinese manufacturing d,business
"Singapore: Oil prices rebounded in Asia Tuesday, buoyed by bargain hunting ahead of the release of US government data that will gauge crude demand in the world´s biggest economy.Analysts expect the data to be released Wednesday by the US Energy Department to show that commercial crude stockpiles rose in the week to October 30 which typically means weaker demand in the world´s top oil consuming nation.Despite occasional rallies, oil remains generally bogged down by a global crude supply glut that has outpaced demand and depressed prices for more than a year.""Expectations of more US stockpiles restrained oil bulls,"" said Bernard Aw, market strategist at IG Markets in Singapore.A global economic slowdown led by China has hammered demand for the commodity and highlighted worries that there may not be enough economic activity to soak up excess supplies as output levels from oil producing nations remain high.China´s official purchasing managers index for the manufacturing sector showed activity shrank in October for the third straight month.Russian oil production broke a post-Soviet record in October, climbing to 10.78 million barrels per day, according to Bloomberg News.At around 0310 GMT Tuesday, US benchmark West Texas Intermediate for delivery in December was up 16 cents at $46.30 and Brent crude for December was trading 11 cents higher at $48.90 a barrel.Prices dipped on Monday after data showed China´s manufacturing output continued to contract and Russian oil production hit a new record high.Current price levels are more than 50 percent lower from their peaks in June 2014 when a barrel of oil was selling at over $100. 










",11/3/2015,oil prices up in asia ahead of us crude inventories repor,business
